		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011100  255  225  211  260  256  222  224  221 14.420038 0.071453 SUCCESS 131
111100000  229  247  259  250  222  238  250  225  6.016602 0.645372 SUCCESS 132
111100010  265  248  258  242  242  272  261  235  7.614886 0.471963 SUCCESS 133
111100100  263  245  236  246  256  238  265  223  6.300459 0.613615 SUCCESS 134
111100110  234  235  281  278  228  229  271  240 16.612515 0.034407 SUCCESS 135
111101000  253  234  218  244  236  251  245  283 10.545603 0.228798 SUCCESS 136
111101010  242  244  255  261  240  239  240  281  7.743045 0.458964 SUCCESS 137
111101100  251  292  246  216  246  247  244  251 13.527160 0.094953 SUCCESS 138
111101110  234  234  249  258  226  240  251  225  4.998742 0.757711 SUCCESS 139
111110000  234  243  239  244  211  232  224  239  7.649839 0.468400 SUCCESS 140
111110010  260  237  262  226  255  241  257  248  5.336616 0.721066 SUCCESS 141
111110100  244  242  225  246  230  251  240  265  4.547536 0.804659 SUCCESS 142
111110110  242  241  244  229  260  241  226  238  3.689611 0.883986 SUCCESS 143
111111000  208  237  234  236  221  250  227  241 10.153711 0.254403 SUCCESS 144
111111010  243  222  244  228  232  250  245  272  7.245236 0.510420 SUCCESS 145
111111100  235  222  232  228  230  272  240  264 10.034025 0.262646 SUCCESS 146
111111110  252  218  242  240  228  250  240  264  6.239027 0.620477 SUCCESS 147

