requests_total,requests_success,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_req_s,throughput_effective_bits_s,exhaustion_keys_s,http_4xx_pct,http_5xx_pct,timeout_pct,duplicates,duplicate_ids,fairness_jain,waste_ratio,backlog_peak,backlog_mean,bits_returned_total,keys_consumed_total,runtime_s,run_id,workload,concurrency,repeat,duration_s
6881,6880,164.53710299992963,936.8352660500013,1677.1353232797267,114.2053186257198,233858.5014842119,114.18872142783785,0.0,0.0,0.0,0,[],0.9633933956230469,0.0,32,31.695804195804197,14090240,6880,60.251134385000114,A_N32_r3,A,32,3,60.0
7510,7510,170.41329999983645,788.8332254000484,1530.7814184197284,124.87712957398227,255748.3613675157,124.87712957398227,0.0,0.0,0.0,0,[],0.9919558154115611,0.0,32,31.67013888888889,15380480,7510,60.139114548999714,A_N32_r4,A,32,4,60.0
7805,7804,168.57383000069603,762.5349683998584,1345.3668595499678,129.59229223061712,265371.0100021427,129.57568847760874,0.0,0.0,0.0,0,[],0.9829007235411685,0.0,32,31.689655172413794,15982592,7804,60.22734736500024,A_N32_r5,A,32,5,60.0
8331,8331,180.00710400065145,584.3658280000454,1246.8172904998971,138.5670977965358,283785.4162873053,138.5670977965358,0.0,0.0,0.0,0,[],0.9883799892955916,0.0,32,31.78082191780822,17061888,8331,60.122497566000675,A_N32_r6,A,32,6,60.0
8023,8021,174.34719399989262,697.6108470007603,1296.794006199525,133.2541135043079,272836.3939384487,133.22089547775815,0.0,0.0,0.0,0,[],0.9889564164902003,0.0,32,31.75862068965517,16427008,8021,60.20827266800006,A_N32_r7,A,32,7,60.0
7821,7820,169.23434099999213,720.7791507992164,1460.8416818200903,129.7261280776285,265645.14033618825,129.70954117977942,0.0,0.0,0.0,0,[],0.9714249913329734,0.0,32,31.682758620689654,16015360,7820,60.28854877499998,A_N32_r8,A,32,8,60.0
7975,7975,162.22039999956905,727.9638368998336,1419.1008261995744,132.57251056586392,271508.5016388893,132.57251056586392,0.0,0.0,0.0,0,[],0.9743091450086204,0.0,32,31.698961937716263,16332800,7975,60.15575903300032,A_N32_r9,A,32,9,60.0
7736,7736,165.00460099996417,769.1312514998572,1438.8255660499904,128.66886650876432,263513.83860994934,128.66886650876432,0.0,0.0,0.0,0,[],0.9877269443165158,0.0,32,31.67128027681661,15843328,7736,60.12332438999965,A_N32_r10,A,32,10,60.0
4500,4498,556.7990479999025,2579.7221742499,3887.2150193500406,73.89732529947587,151274.4592256762,73.8644820437872,0.0,0.0,0.0,0,[],0.9886199275090379,0.0,64,63.090196078431376,9211904,4498,60.89530279700011,A_N64_r1,A,64,1,60.0
4387,4387,582.3657639994053,2566.747396999835,3813.496270319895,72.16670061701993,147797.4028636568,72.16670061701993,0.0,0.0,0.0,0,[],0.9871714894311986,0.0,64,63.16535433070866,8984576,4387,60.78980973899979,A_N64_r2,A,64,2,60.0
4588,4587,541.231942000195,2577.2280275002227,3977.716098879666,75.42598762342624,154438.75385969656,75.40954778305496,0.0,0.0,0.0,0,[],0.9893347054495445,0.0,64,62.95719844357976,9394176,4587,60.82784123300007,A_N64_r3,A,64,3,60.0
4299,4299,614.0504049999436,2614.599706799981,3868.3094432001994,70.71635051761974,144827.08586008524,70.71635051761974,0.0,0.0,0.0,0,[],0.9886773462830262,0.0,64,63.126482213438734,8804352,4299,60.79216430900033,A_N64_r4,A,64,4,60.0
4569,4568,563.9323539999168,2524.729870749841,3811.3911470596845,75.16635875400152,153907.01030037104,75.14990737322805,0.0,0.0,0.0,0,[],0.9877156948281712,0.0,64,63.046875,9355264,4568,60.78517139499945,A_N64_r5,A,64,5,60.0
4561,4561,573.1221490004828,2439.0693579998697,3625.1344490001425,75.00568298087418,153611.63874483033,75.00568298087418,0.0,0.0,0.0,0,[],0.9853565330445353,0.0,64,62.9031007751938,9340928,4561,60.80872566900052,A_N64_r6,A,64,6,60.0
4815,4815,516.9640269996307,2407.908385400243,3645.2836963802633,79.18903665448927,162179.14706839403,79.18903665448927,0.0,0.0,0.0,0,[],0.989717733397629,0.0,64,63.02316602316602,9861120,4815,60.80387138700007,A_N64_r7,A,64,7,60.0
4555,4555,556.5355270000509,2551.306992800073,3913.595354000465,74.91227631540981,153420.3418939593,74.91227631540981,0.0,0.0,0.0,0,[],0.9891708614681894,0.0,64,63.00390625,9328640,4555,60.8044532089998,A_N64_r8,A,64,8,60.0
4476,4474,577.6886409998951,2525.108175149716,3737.931548489832,73.61233267345368,150690.69446567315,73.57944065706697,0.0,0.0,0.0,0,[],0.9866014816660779,0.0,64,63.04296875,9162752,4474,60.805028688000675,A_N64_r9,A,64,9,60.0
4745,4744,535.1772680000977,2412.572798049722,3727.027225369977,77.98621386760811,159682.10619770002,77.96977841684571,0.0,0.0,0.0,0,[],0.9887890989663589,0.0,64,62.93846153846154,9715712,4744,60.844087238999236,A_N64_r10,A,64,10,60.0
